,DATE,ALLSKY_SFC_SW_DWN,PRECTOT,RH2M,T2M,T2MDEW,T2M_MAX,T2M_MIN,WS2M
266,1981-09-24,-99.0,0.01,49.63,15.58,4.92,24.01,8.06,1.91
267,1981-09-25,-99.0,0.0,32.85,17.99,1.11,27.43,10.22,1.33
268,1981-09-26,-99.0,0.08,48.97,15.25,4.2,20.6,10.12,1.74
269,1981-09-27,-99.0,0.05,52.63,15.83,5.43,23.98,10.39,1.55
270,1981-09-28,-99.0,0.0,28.69,18.95,-0.02,28.72,11.63,1.63
271,1981-09-29,-99.0,0.0,20.76,21.68,-1.85,30.85,14.22,1.48
272,1981-09-30,-99.0,0.02,20.77,22.23,-1.46,30.8,15.66,1.76
273,1981-10-01,-99.0,0.0,33.56,19.74,2.94,27.19,13.24,2.34
274,1981-10-02,-99.0,2.9,50.44,16.63,6.08,24.63,10.84,1.5
275,1981-10-03,-99.0,0.0,31.52,17.98,0.3,27.29,11.6,1.46
276,1981-10-04,-99.0,0.0,30.97,19.92,1.93,29.71,13.37,1.56
277,1981-10-05,-99.0,0.0,35.93,17.99,2.2,26.28,11.76,2.0
278,1981-10-06,-99.0,0.01,34.54,18.29,1.96,26.44,11.88,1.67
279,1981-10-07,-99.0,0.85,45.08,18.55,6.26,25.9,13.65,0.95
280,1981-10-08,-99.0,0.0,34.96,19.95,3.54,29.32,13.29,1.71
281,1981-10-09,-99.0,0.01,35.57,19.18,2.9,27.39,12.75,1.51
282,1981-10-10,-99.0,0.0,29.43,21.36,2.52,30.02,15.81,1.48
283,1981-10-11,-99.0,0.0,22.09,20.94,-1.62,29.47,15.21,1.61
284,1981-10-12,-99.0,0.0,19.0,20.31,-3.98,28.77,14.06,1.54
285,1981-10-13,-99.0,0.01,18.74,20.76,-3.82,29.62,15.14,1.38
286,1981-10-14,-99.0,0.0,20.68,21.13,-2.26,29.77,13.79,1.57
287,1981-10-15,-99.0,0.06,23.27,21.45,-0.6,29.7,15.47,1.16
288,1981-10-16,-99.0,0.01,28.51,19.59,0.63,28.12,13.76,2.04
289,1981-10-17,-99.0,0.2,38.24,18.39,3.47,25.48,13.81,1.86
290,1981-10-18,-99.0,0.29,30.11,19.31,1.02,25.46,14.82,2.42
291,1981-10-19,-99.0,0.03,19.39,20.85,-3.31,28.6,16.12,1.5
292,1981-10-20,-99.0,0.02,25.79,18.42,-1.68,25.37,14.75,1.41
293,1981-10-21,-99.0,1.2,47.49,17.17,5.76,22.2,13.44,1.93
294,1981-10-22,-99.0,1.02,59.52,15.16,7.26,19.92,11.8,1.79
295,1981-10-23,-99.0,2.62,66.04,13.65,7.32,17.18,10.84,1.18
296,1981-10-24,-99.0,4.75,72.43,13.34,8.25,18.01,10.67,1.62
297,1981-10-25,-99.0,0.43,72.73,13.65,8.73,20.26,9.69,1.63
298,1981-10-26,-99.0,0.01,51.03,13.13,2.81,21.59,8.12,1.58
299,1981-10-27,-99.0,0.0,37.12,15.44,0.7,24.86,8.11,1.26
300,1981-10-28,-99.0,0.0,37.38,16.13,1.37,23.98,11.16,1.11
301,1981-10-29,-99.0,0.0,37.39,15.63,0.99,22.77,11.46,1.4
302,1981-10-30,-99.0,0.0,39.34,15.12,1.3,22.7,9.72,1.21
303,1981-10-31,-99.0,0.0,34.31,15.07,-0.76,24.16,8.59,1.29
304,1981-11-01,-99.0,0.0,37.27,15.85,1.18,24.41,8.42,1.07
